date,precipitation,temp_mean,temp_highest,temp_lowest,PM10,PM2.5,humidity,sunshine_sum,sunshine_rate,wind_mean,wind_max,rental
2018-02-13,,-0.8,4.3,-7.4,43.0,14.0,54.5,8.3,76.9,2.7,5.6,6863
2018-02-14,,3.5,8.7,-0.7,59.0,27.0,51.0,3.3,30.6,2.6,5.4,7477
2018-02-15,,-0.7,4.0,-3.7,32.0,14.0,28.0,,0.0,2.5,4.4,3935
2018-02-16,,-1.1,4.9,-5.5,41.0,16.0,40.1,9.7,89.0,2.1,5.5,3047
2018-02-17,,-3.0,1.4,-7.1,,,25.6,9.0,82.6,2.9,5.5,3494
2018-02-18,,-0.4,5.2,-4.9,30.0,14.0,26.9,7.2,66.1,1.3,3.5,5191
2018-02-19,,1.8,6.8,-1.9,51.0,33.0,48.6,4.8,43.6,1.5,3.0,8563
2018-02-20,,0.9,5.5,-2.4,51.0,32.0,41.0,8.3,75.5,2.5,5.8,8899
2018-02-21,,-0.9,4.4,-4.5,32.0,17.0,31.5,9.8,89.1,2.3,5.2,8342
2018-02-22,0.4,1.3,5.4,-3.9,42.0,25.0,59.0,6.4,57.7,2.2,5.2,8580
2018-02-23,3.7,4.2,8.6,-0.3,79.0,55.0,81.1,4.8,43.2,1.9,5.0,6408
2018-02-24,,2.4,7.2,-1.1,68.0,47.0,49.4,7.6,67.9,2.1,3.9,7198
2018-02-25,,1.9,7.9,-1.6,36.0,25.0,40.6,9.2,82.1,1.7,3.8,7595
2018-02-26,,3.1,10.4,-3.2,55.0,36.0,43.1,10.2,91.1,1.4,3.6,10712
2018-02-27,,4.2,6.9,0.6,82.0,55.0,48.8,0.0,0.0,0.9,1.8,10064
2018-02-28,25.0,4.6,7.8,1.8,67.0,43.0,73.3,0.0,0.0,2.0,3.7,4230
2018-03-01,0.5,-0.2,3.0,-4.3,35.0,26.0,61.9,8.7,76.3,3.8,6.9,5761
2018-03-02,,-0.7,5.4,-6.7,58.0,24.0,34.0,10.3,90.4,1.5,3.3,9388
2018-03-03,0.0,7.9,16.2,-0.1,52.0,26.0,38.1,10.1,88.6,1.5,3.9,16029
2018-03-04,11.5,9.8,11.9,7.6,28.0,19.0,89.1,0.0,0.0,1.2,3.5,5373
2018-03-05,3.5,5.5,11.4,1.3,8.0,5.0,67.5,7.0,60.9,2.0,3.5,9943
2018-03-06,,4.5,10.9,-1.1,26.0,15.0,46.8,10.6,91.4,1.6,3.7,14028
2018-03-07,0.5,6.4,10.7,2.2,25.0,14.0,54.0,3.0,25.9,1.8,3.2,12925
2018-03-08,4.0,4.6,9.7,2.7,29.0,23.0,76.0,5.1,44.0,1.9,4.5,8812
2018-03-09,,4.5,9.6,1.4,41.0,31.0,63.3,5.1,43.6,1.5,4.2,13573
2018-03-10,,4.6,9.7,0.7,43.0,31.0,65.8,7.9,67.5,2.0,5.9,13324
2018-03-11,,6.4,12.2,2.7,52.0,35.0,51.3,9.8,83.1,2.0,4.2,15136
2018-03-12,,8.0,15.5,2.2,80.0,52.0,45.8,7.5,63.6,1.4,4.2,15913
2018-03-13,,12.4,18.8,5.2,59.0,37.0,60.5,6.6,55.9,1.8,4.3,19514
2018-03-14,,17.0,22.1,13.6,22.0,11.0,58.8,7.9,66.4,2.3,5.0,24911
2018-03-15,27.0,12.4,16.6,8.4,18.0,12.0,92.1,0.0,0.0,2.1,4.8,7091
2018-03-16,,7.1,12.2,3.6,12.0,6.0,46.9,11.0,91.7,1.9,3.1,18415
2018-03-17,,6.6,14.0,0.5,26.0,16.0,48.0,9.1,75.8,1.5,3.8,20165
2018-03-18,0.5,8.2,12.5,5.4,52.0,36.0,55.9,0.0,0.0,1.2,2.9,11740
2018-03-19,1.0,8.0,10.4,6.2,30.0,23.0,64.5,0.0,0.0,2.5,4.2,10297
2018-03-20,,4.7,9.1,1.6,18.0,7.0,39.9,5.4,44.6,3.4,4.8,13205
2018-03-21,1.0,2.1,5.3,1.1,,,64.1,0.4,3.3,1.7,3.3,8225
2018-03-22,,4.9,11.6,0.6,,,61.5,10.7,87.7,2.2,5.0,16420
2018-03-23,,6.1,12.5,1.8,,,55.3,8.7,71.3,2.0,4.2,17904
2018-03-24,,7.6,13.1,4.0,,,61.9,7.2,58.5,2.1,4.4,14914
2018-03-25,,9.6,16.9,4.6,,,65.6,9.5,77.2,1.7,3.5,13942
2018-03-26,,11.0,18.1,5.3,,,64.5,9.1,73.4,1.9,4.4,15505
2018-03-27,,13.3,20.0,7.7,,,61.1,7.9,63.7,1.6,3.9,17456
2018-03-28,,14.0,19.0,9.4,,,66.4,5.2,41.6,2.2,4.8,21232
2018-03-29,,15.4,21.1,11.8,,,66.3,7.5,60.0,1.6,4.0,21436
2018-03-30,,14.8,21.9,9.8,,,55.6,9.9,79.2,1.7,3.8,24411
2018-03-31,,14.0,20.1,9.3,,,52.9,7.9,62.7,1.9,4.5,25673
2018-04-01,,15.6,18.5,11.7,,,68.8,1.3,10.3,1.5,3.5,22994
2018-04-02,,18.4,23.7,14.9,,,64.0,5.6,44.4,1.9,4.5,28139
2018-04-03,0.1,17.8,21.2,14.9,,,72.9,0.8,6.3,2.1,4.4,26817
2018-04-04,18.5,13.4,18.2,9.5,,,67.0,8.0,63.0,1.9,5.1,26034
2018-04-05,10.5,7.6,9.5,6.7,,,90.6,0.0,0.0,2.0,3.5,2833
2018-04-06,6.5,5.8,8.6,3.0,,,71.6,4.0,31.3,3.1,5.7,13297
2018-04-07,0.2,4.2,8.6,1.4,,,45.5,9.0,70.3,4.1,6.0,13088
2018-04-08,3.0,3.9,7.9,0.6,,,59.6,3.3,25.6,1.8,3.6,7758
2018-04-09,,7.9,15.4,0.1,32.0,22.0,57.9,9.5,73.6,1.1,2.9,23925
2018-04-10,5.0,15.1,21.9,6.9,37.0,18.0,51.0,6.3,48.5,3.5,8.8,20423
2018-04-11,,12.6,17.3,8.7,53.0,20.0,49.4,11.8,90.8,3.0,6.1,25557
2018-04-12,,13.3,19.6,6.8,40.0,14.0,30.5,12.0,92.3,2.6,6.2,28885
2018-04-13,,14.6,19.3,8.3,29.0,13.0,22.9,2.7,20.6,1.3,3.7,29497
2018-04-14,9.0,9.0,14.8,7.5,18.0,10.0,78.8,0.3,2.3,1.8,4.1,8216
2018-04-15,,9.5,14.2,5.6,61.0,17.0,65.5,8.6,65.2,2.4,4.9,12721
2018-04-16,,11.6,18.8,4.9,33.0,20.0,41.9,12.3,93.2,1.6,4.7,29589
2018-04-17,,12.9,20.1,6.8,50.0,25.0,37.9,12.2,92.4,1.9,5.5,28236
2018-04-18,,12.4,19.3,6.2,57.0,27.0,35.4,12.0,90.2,1.9,3.9,23499
2018-04-19,,14.0,20.5,7.4,70.0,32.0,38.8,11.4,85.7,1.9,5.1,20400
2018-04-20,,18.4,26.3,11.0,,,46.0,11.3,84.3,1.3,3.6,28351
2018-04-21,,18.7,25.6,12.3,66.0,36.0,32.0,12.4,92.5,1.9,4.6,33144
2018-04-22,15.5,15.5,21.0,10.7,33.0,18.0,57.4,0.0,0.0,1.1,2.9,8095
2018-04-23,59.0,9.3,10.7,8.4,9.0,6.0,93.9,0.0,0.0,2.2,3.0,1037
2018-04-24,3.0,12.1,16.1,8.9,7.0,4.0,63.3,0.0,0.0,1.4,2.8,24560
2018-04-25,,14.6,23.3,5.7,30.0,22.0,37.8,12.4,91.9,1.5,4.4,33728
2018-04-26,,14.9,22.1,10.0,39.0,26.0,51.9,11.7,86.0,2.1,5.1,32547
2018-04-27,,15.7,23.3,9.7,48.0,33.0,52.9,11.3,83.1,1.7,3.8,32989
2018-04-28,,15.4,21.7,10.5,56.0,35.0,49.0,12.4,91.2,2.0,4.8,33738
2018-04-29,,16.2,22.9,9.4,47.0,27.0,43.1,11.6,84.7,1.9,4.3,35159
2018-04-30,,19.2,25.0,14.1,70.0,47.0,61.6,9.2,67.2,1.6,3.6,32629
2018-05-01,0.0,20.4,23.3,17.8,52.0,36.0,72.8,3.2,23.4,1.5,4.0,34593
2018-05-02,12.0,15.1,19.7,8.7,41.0,30.0,90.4,0.0,0.0,1.9,5.2,8374
2018-05-03,1.0,11.2,14.7,6.9,24.0,12.0,62.4,8.2,59.4,2.7,5.3,25963
2018-05-04,,14.1,20.0,8.8,37.0,15.0,45.5,12.4,89.9,2.7,5.9,34058
2018-05-05,,18.3,24.6,11.6,34.0,17.0,46.8,11.0,79.1,2.6,4.8,37389
2018-05-06,22.0,16.6,20.7,15.0,13.0,8.0,86.4,3.2,23.0,1.1,3.9,19809
2018-05-07,,19.2,25.5,14.0,30.0,16.0,60.3,7.1,51.1,1.2,3.7,40026
2018-05-08,,17.5,22.9,11.6,15.0,7.0,50.9,11.3,80.7,1.7,2.7,33738
2018-05-09,,15.7,21.8,9.2,19.0,7.0,50.4,12.6,90.0,1.7,3.6,37851
2018-05-10,,15.4,21.4,11.3,35.0,18.0,67.4,12.3,87.9,2.3,5.4,36549
2018-05-11,,16.1,21.3,11.9,51.0,29.0,59.8,5.3,37.6,1.8,3.5,33923
2018-05-12,32.0,14.2,16.1,11.8,27.0,17.0,89.3,0.0,0.0,0.9,2.9,3551
2018-05-13,0.5,15.8,20.0,12.7,18.0,12.0,82.5,6.9,48.9,1.9,3.9,35668
2018-05-14,,18.2,24.5,11.9,58.0,37.0,71.4,7.2,50.7,1.4,3.4,35918
2018-05-15,0.0,23.2,29.3,15.4,66.0,46.0,56.4,8.9,62.7,1.1,3.4,36476
2018-05-16,45.0,22.3,24.4,21.8,32.0,22.0,93.8,0.0,0.0,1.9,6.1,7072
2018-05-17,83.0,20.9,23.5,18.8,13.0,8.0,97.0,0.0,0.0,1.4,8.0,3802
2018-05-18,6.5,16.3,19.3,12.2,,,86.8,0.4,2.8,1.3,2.7,19629
2018-05-19,,17.6,24.7,10.3,,,47.5,12.7,88.8,1.5,2.9,43471
2018-05-20,,17.0,22.6,11.5,9.0,5.0,32.1,4.2,29.4,1.4,2.8,39036
2018-05-21,,17.8,23.7,11.3,8.0,5.0,43.9,8.8,61.5,1.4,3.5,42039
2018-05-22,12.5,18.1,23.2,15.4,,,75.5,2.7,18.8,1.1,3.1,17444
2018-05-23,6.5,17.3,23.3,13.6,,,57.1,12.7,88.2,2.5,5.0,35975
2018-05-24,,18.3,23.7,11.2,,,47.4,12.5,86.8,2.2,5.4,36858
2018-05-25,,19.7,26.2,13.8,,,47.4,12.1,84.0,1.8,4.5,37569
2018-05-26,,21.8,29.6,14.0,,,50.1,12.6,86.9,1.4,4.0,37761
2018-05-27,,20.3,24.7,17.3,56.0,25.0,47.4,4.7,32.4,1.7,4.1,39534
2018-05-28,,22.3,29.1,16.2,41.0,20.0,49.8,12.5,86.2,1.6,4.3,40775
2018-05-29,1.0,21.4,25.9,19.1,,,69.3,3.4,23.4,1.8,4.4,29925
2018-05-30,0.0,20.2,24.7,15.8,,,69.8,9.8,67.6,1.9,4.4,39214
2018-05-31,,20.9,27.6,14.2,,,58.9,12.9,88.4,1.9,3.6,41619
2018-06-01,,23.8,30.2,17.5,35.0,20.0,50.4,12.9,88.4,1.9,4.3,41970
2018-06-02,,23.4,30.1,17.6,43.0,27.0,44.5,12.8,87.7,2.0,4.5,41677
2018-06-03,,24.0,30.8,16.9,,,39.4,12.9,88.4,1.6,4.2,40565
2018-06-04,,22.6,27.5,18.9,36.0,24.0,50.1,9.2,63.0,1.9,4.4,44014
2018-06-05,,23.7,29.2,17.7,32.0,22.0,52.5,11.4,77.6,1.7,4.0,44118
2018-06-06,,23.0,27.9,18.4,,,62.9,12.7,86.4,2.0,4.0,40440
2018-06-07,,22.2,29.4,17.8,,,69.3,9.4,63.9,2.0,4.1,42038
2018-06-08,,21.9,27.0,18.5,,,68.0,7.1,48.3,2.1,3.7,46516
2018-06-09,0.5,23.7,30.1,18.9,,,60.6,7.9,53.7,1.4,3.5,32839
2018-06-10,0.5,21.3,24.9,18.3,,,59.9,1.4,9.5,1.4,2.9,39277
2018-06-11,5.0,20.2,23.9,18.0,,,67.3,3.3,22.4,1.4,4.3,30605
2018-06-12,0.0,21.3,27.1,16.6,,,65.5,12.1,82.3,1.7,4.7,46201
2018-06-13,0.0,22.0,27.0,18.3,,,64.0,4.9,33.3,1.5,5.1,49116
2018-06-14,29.0,21.6,25.1,18.8,,,74.9,1.4,9.5,1.1,3.7,30511
2018-06-15,16.5,21.7,27.0,17.2,,,60.8,9.8,66.2,1.4,2.7,45103
2018-06-16,,22.5,28.7,16.3,,,56.4,13.0,87.8,1.4,2.8,46457
2018-06-17,,22.8,27.5,18.9,,,66.9,2.4,16.2,1.3,3.9,43484
2018-06-18,,24.8,30.8,19.9,,,54.9,12.6,85.1,1.5,4.0,36316
2018-06-19,,22.4,27.2,19.1,,,61.3,3.1,20.9,1.8,3.6,47296
2018-06-20,,22.7,28.4,19.1,,,68.1,10.2,68.9,2.3,4.2,46612
2018-06-21,,23.7,28.7,19.4,,,60.1,12.6,85.1,2.2,4.4,47762
2018-06-22,,25.0,32.0,18.2,38.0,23.0,45.1,12.4,83.8,1.8,4.3,47478
2018-06-23,,24.5,28.9,20.9,,,50.6,8.5,57.4,2.0,4.4,45663
2018-06-24,,25.2,32.1,20.1,,,62.8,11.1,75.0,1.9,3.7,39548
2018-06-25,,27.1,32.9,21.3,,,57.1,7.8,52.7,1.2,3.2,46565
2018-06-26,71.5,22.3,26.9,20.2,51.0,34.0,88.3,0.0,0.0,2.4,5.7,6391
2018-06-27,1.0,22.3,25.5,19.1,,,81.9,2.9,19.6,2.0,4.5,41128
2018-06-28,26.5,23.3,27.3,20.6,,,85.1,1.9,12.8,1.1,4.3,27757
2018-06-29,6.5,24.7,29.1,21.9,,,78.5,8.4,56.8,1.5,3.2,42765
2018-06-30,14.5,24.4,27.9,21.6,50.0,34.0,83.8,0.5,3.4,0.9,5.1,26911
2018-07-01,83.5,21.9,22.8,21.0,11.0,8.0,94.6,0.0,0.0,0.8,2.3,4358
2018-07-02,59.5,22.6,25.3,20.6,10.0,7.0,95.4,0.1,0.7,0.7,2.9,6261
2018-07-03,0.1,27.4,32.6,22.5,11.0,8.0,74.4,10.1,68.7,0.8,2.6,41350
2018-07-04,,27.3,31.8,24.0,,,69.6,8.4,57.1,1.7,3.9,45741
2018-07-05,0.5,25.3,29.0,23.4,,,72.8,1.7,11.6,1.2,3.0,39804
2018-07-06,,23.9,27.1,21.5,6.0,3.0,57.8,2.6,17.7,1.8,3.4,49521
2018-07-07,,23.7,29.2,19.5,7.0,5.0,51.4,,0.0,1.6,2.3,48015
2018-07-08,,23.3,28.1,17.7,11.0,8.0,51.5,9.5,65.1,1.5,2.8,48132
2018-07-09,14.0,20.8,24.2,20.1,9.0,7.0,82.3,0.0,0.0,1.1,1.8,8155
2018-07-10,16.5,23.7,26.5,20.4,19.0,13.0,87.8,0.0,0.0,0.7,1.6,27956
2018-07-11,3.0,26.8,29.5,24.4,34.0,23.0,82.9,0.1,0.7,1.3,3.9,35390
2018-07-12,1.0,26.6,28.2,25.1,28.0,18.0,82.4,1.1,7.5,1.5,3.6,43611
2018-07-13,,27.3,30.9,24.7,22.0,17.0,74.8,7.0,47.9,1.8,3.4,44976
2018-07-14,0.0,27.9,31.9,24.6,20.0,15.0,69.6,11.3,77.9,1.9,4.2,39205
2018-07-15,,28.3,33.2,24.5,23.0,18.0,69.6,11.0,75.9,1.6,3.7,34957
2018-07-16,,28.7,34.0,24.0,24.0,20.0,64.3,12.9,89.0,1.7,3.6,40964
2018-07-17,,28.1,32.1,23.9,28.0,25.0,66.5,13.0,89.7,1.7,4.1,43323
2018-07-18,,28.2,33.2,23.7,33.0,30.0,64.8,13.0,89.7,1.6,4.1,42609
2018-07-19,,28.7,34.1,23.2,29.0,23.0,64.1,12.9,89.6,1.6,3.2,42316
2018-07-20,,29.5,34.7,24.6,36.0,28.0,62.6,12.9,89.6,1.5,3.3,40337
2018-07-21,,30.6,36.9,24.9,35.0,28.0,53.6,12.9,89.6,1.5,3.6,32360
2018-07-22,,31.8,38.0,25.3,29.0,22.0,49.6,12.2,84.7,1.4,3.7,28250
2018-07-23,,31.7,35.7,29.2,31.0,24.0,53.8,8.0,55.6,1.8,4.0,38003
2018-07-24,,31.4,36.8,27.2,40.0,33.0,59.5,10.2,71.3,1.6,4.0,37486
2018-07-25,,30.1,34.1,27.7,32.0,24.0,66.3,5.2,36.4,2.4,3.8,39225
2018-07-26,,30.1,33.7,27.3,40.0,29.0,68.8,4.4,30.8,1.5,3.4,37796
2018-07-27,,30.9,35.4,27.2,43.0,30.0,69.3,9.3,65.5,1.9,3.7,34985
2018-07-28,7.5,29.5,35.2,28.0,31.0,21.0,77.1,3.4,23.9,1.2,3.6,24649
2018-07-29,,31.3,36.7,26.4,18.0,12.0,52.4,12.3,86.6,1.2,2.9,28317
2018-07-30,,31.7,36.9,26.2,9.0,6.0,50.9,11.0,77.5,1.2,2.4,36701
2018-07-31,,32.6,38.3,27.8,15.0,9.0,50.5,12.0,85.1,1.5,3.6,35262
2018-08-01,,33.6,39.6,27.8,29.0,17.0,55.5,12.6,89.4,1.7,4.0,31169
2018-08-02,,33.7,37.9,30.3,29.0,19.0,54.4,9.8,69.5,1.6,3.2,31321
2018-08-03,,33.1,37.9,30.0,41.0,30.0,55.3,10.5,75.0,1.9,4.2,31646
2018-08-04,,31.1,34.9,28.0,24.0,17.0,60.6,12.1,86.4,2.4,4.6,28174
2018-08-05,2.0,30.0,33.9,27.2,24.0,15.0,71.8,10.1,72.1,2.6,4.9,26989
2018-08-06,6.5,30.5,35.3,28.3,28.0,18.0,71.6,7.3,52.5,1.6,4.4,29113
2018-08-07,,30.5,35.9,26.8,17.0,11.0,63.4,8.5,61.2,1.5,3.7,36983
2018-08-08,,31.0,35.3,27.6,24.0,15.0,64.8,10.8,77.7,2.1,4.6,37140
2018-08-09,2.0,28.8,32.5,27.1,23.0,16.0,76.3,2.6,18.8,1.5,4.2,32216
2018-08-10,,30.7,36.8,25.7,14.0,9.0,60.9,11.4,82.6,1.4,3.6,36178
2018-08-11,,31.0,36.0,26.4,9.0,5.0,55.8,11.5,83.3,1.5,3.3,31293
2018-08-12,5.0,30.6,35.3,27.2,14.0,9.0,61.3,8.4,61.3,1.5,3.7,27363
2018-08-13,1.0,30.5,34.4,26.7,30.0,21.0,68.6,6.3,46.0,1.4,3.2,36076
2018-08-14,,31.7,37.2,27.7,24.0,15.0,58.3,9.5,69.3,1.3,4.0,37659
2018-08-15,1.0,31.7,38.0,28.3,27.0,18.0,59.5,9.5,69.9,1.2,5.8,29270
2018-08-16,,29.9,35.6,24.1,14.0,8.0,51.0,11.0,80.9,1.7,3.0,41358
2018-08-17,,27.2,33.8,21.7,12.0,5.0,39.8,12.4,91.2,1.8,3.5,47634
2018-08-18,,26.7,32.1,21.5,14.0,6.0,44.6,10.9,80.7,1.4,3.8,45629
2018-08-19,,28.2,34.4,23.0,20.0,12.0,50.6,7.9,58.5,1.2,3.3,42281
2018-08-20,0.0,29.1,33.3,25.1,32.0,20.0,55.6,6.0,44.4,2.0,5.1,44243
2018-08-21,5.0,26.6,31.0,23.4,21.0,12.0,71.4,6.8,50.7,2.5,7.1,41964
2018-08-22,,30.7,37.6,23.4,21.0,13.0,54.1,10.5,78.4,1.1,3.2,42425
2018-08-23,3.0,29.4,32.2,25.7,11.0,6.0,59.1,1.7,12.7,1.7,2.8,23616
2018-08-24,7.5,24.4,26.3,23.2,8.0,5.0,86.3,0.0,0.0,2.5,4.2,17319
2018-08-25,,25.2,29.3,22.7,21.0,12.0,68.0,7.2,54.1,2.6,5.3,47109
2018-08-26,2.0,23.2,29.0,20.3,16.0,10.0,70.0,5.1,38.6,1.2,3.8,32200
2018-08-27,19.5,22.7,24.9,20.2,8.0,6.0,91.0,0.0,0.0,0.8,2.1,23382
2018-08-28,96.5,23.7,26.1,22.5,10.0,6.0,92.4,0.0,0.0,0.9,3.7,13495
2018-08-29,42.0,25.2,27.4,22.7,13.0,7.0,86.0,0.1,0.8,2.4,4.5,13001
2018-08-30,9.5,25.3,28.2,23.9,25.0,17.0,80.9,1.9,14.5,1.8,3.7,33158
2018-08-31,0.1,25.6,30.3,22.8,22.0,14.0,67.4,10.1,77.7,1.6,3.7,46101
2018-09-01,,25.5,30.9,20.8,17.0,9.0,59.4,10.6,81.5,1.3,2.3,43847
2018-09-02,,25.1,29.6,20.1,12.0,7.0,55.8,9.2,70.8,1.5,2.8,48427
2018-09-03,34.5,23.3,25.8,21.4,14.0,8.0,85.3,0.0,0.0,1.0,5.5,16086
2018-09-04,,23.2,27.8,20.0,14.0,7.0,69.4,11.0,85.3,2.2,5.2,50500
2018-09-05,,24.0,28.5,19.6,24.0,10.0,63.5,11.8,91.5,2.5,5.7,53984
2018-09-06,1.0,24.1,28.2,20.9,31.0,17.0,69.9,2.2,17.2,2.0,5.0,46532
2018-09-07,0.5,22.0,25.5,19.1,24.0,13.0,54.6,10.9,85.2,2.5,4.3,53230
2018-09-08,,21.7,27.7,15.9,22.0,11.0,48.8,11.7,92.1,1.7,3.9,55470
2018-09-09,,22.2,28.9,15.6,19.0,10.0,49.0,9.9,78.0,1.2,2.8,54213
2018-09-10,,22.9,28.4,18.6,11.0,5.0,49.5,10.3,81.1,1.6,2.7,55188
2018-09-11,,21.6,26.1,16.8,12.0,5.0,48.1,8.4,66.7,1.5,2.4,56212
2018-09-12,,22.8,28.2,16.8,15.0,7.0,52.0,11.3,89.7,1.4,3.2,57363
2018-09-13,,23.5,28.3,20.3,16.0,7.0,63.5,5.0,40.0,1.2,2.4,55791
2018-09-14,0.5,23.5,26.8,20.3,17.0,10.0,66.9,1.6,12.8,1.3,2.6,49383
2018-09-15,0.2,23.3,26.0,21.0,11.0,6.0,76.0,0.8,6.4,1.0,2.4,44808
2018-09-16,2.0,22.2,23.9,21.0,34.0,21.0,83.6,0.0,0.0,1.7,3.7,24317
2018-09-17,0.1,22.3,27.7,18.5,23.0,14.0,64.3,10.8,87.1,1.9,3.8,55335
2018-09-18,,22.0,26.5,17.7,31.0,16.0,59.8,7.9,64.2,1.2,3.4,57691
2018-09-19,0.2,22.1,26.6,18.9,35.0,18.0,59.1,2.1,17.1,1.0,2.9,44096
2018-09-20,5.0,19.0,20.1,17.8,13.0,8.0,82.4,0.0,0.0,1.8,2.9,23616
2018-09-21,18.0,19.4,21.9,17.6,7.0,4.0,85.8,0.6,4.9,1.3,2.3,32242
2018-09-22,6.5,20.8,25.5,17.2,27.0,11.0,62.3,10.8,88.5,1.8,5.3,49688
2018-09-23,0.0,19.4,25.3,15.6,26.0,10.0,52.9,7.4,61.2,1.6,4.3,38635
2018-09-24,,17.6,22.1,14.2,13.0,6.0,48.3,11.0,90.9,2.1,4.4,36406
2018-09-25,,17.8,24.3,10.8,14.0,7.0,48.0,10.0,82.6,1.1,2.2,49595
2018-09-26,,19.4,24.8,16.2,8.0,5.0,47.9,8.4,70.0,1.7,2.7,57730
2018-09-27,,18.9,25.0,13.2,9.0,5.0,47.6,10.3,85.8,1.3,2.4,58200
